username,qualification,skills,technical_job_role,non_technical_job_role
user205,M.Tech,Technical Skill 532,Technical Job Role 5806,Non-Technical Field 672
user206,M.Tech,Technical Skill 391,Technical Job Role 8594,Non-Technical Field 146
user207,B.Tech,Technical Skill 72,Technical Job Role 4675,Non-Technical Field 59
user208,10th Pass,Technical Skill 24,Technical Job Role 7597,Non-Technical Field 270
user209,M.Tech,Technical Skill 173,Technical Job Role 5342,Non-Technical Field 873
user210,10th Pass,Technical Skill 26,Technical Job Role 4487,Non-Technical Field 578
user211,10th Pass,Technical Skill 363,Technical Job Role 4378,Non-Technical Field 147
user212,12th Pass,Technical Skill 371,Technical Job Role 5495,Non-Technical Field 349
user213,12th Pass,Technical Skill 700,Technical Job Role 8988,Non-Technical Field 50
user214,12th Pass,Technical Skill 803,Technical Job Role 5278,Non-Technical Field 713
user215,12th Pass,Technical Skill 744,Technical Job Role 8750,Non-Technical Field 70
user216,10th Pass,Technical Skill 146,Technical Job Role 6097,Non-Technical Field 842
user217,10th Pass,Technical Skill 309,Technical Job Role 8247,Non-Technical Field 293
user218,12th Pass,Technical Skill 244,Technical Job Role 6434,Non-Technical Field 381
user219,M.Tech,Technical Skill 65,Technical Job Role 3206,Non-Technical Field 462
user220,10th Pass,Technical Skill 95,Technical Job Role 9121,Non-Technical Field 198
user221,10th Pass,Technical Skill 409,Technical Job Role 6050,Non-Technical Field 880
user222,10th Pass,Technical Skill 902,Technical Job Role 6257,Non-Technical Field 263
user223,M.Tech,Technical Skill 897,Technical Job Role 7072,Non-Technical Field 826
user224,B.Tech,Technical Skill 981,Technical Job Role 596,Non-Technical Field 463
user225,M.Tech,Technical Skill 229,Technical Job Role 1547,Non-Technical Field 455
user226,12th Pass,Technical Skill 784,Technical Job Role 7306,Non-Technical Field 440
user227,12th Pass,Technical Skill 503,Technical Job Role 7552,Non-Technical Field 516
user228,M.Tech,Technical Skill 940,Technical Job Role 5470,Non-Technical Field 888
user229,M.Tech,Technical Skill 766,Technical Job Role 8179,Non-Technical Field 691
user230,B.Tech,Technical Skill 891,Technical Job Role 4391,Non-Technical Field 576
user231,B.Tech,Technical Skill 354,Technical Job Role 8694,Non-Technical Field 995
user232,12th Pass,Technical Skill 408,Technical Job Role 6192,Non-Technical Field 448
user233,M.Tech,Technical Skill 332,Technical Job Role 4079,Non-Technical Field 346
user234,12th Pass,Technical Skill 405,Technical Job Role 4446,Non-Technical Field 123
user235,M.Tech,Technical Skill 826,Technical Job Role 9128,Non-Technical Field 724
user236,10th Pass,Technical Skill 818,Technical Job Role 5679,Non-Technical Field 643
user237,10th Pass,Technical Skill 992,Technical Job Role 7625,Non-Technical Field 398
user238,10th Pass,Technical Skill 834,Technical Job Role 6920,Non-Technical Field 590
user239,12th Pass,Technical Skill 191,Technical Job Role 1957,Non-Technical Field 801
user240,B.Tech,Technical Skill 920,Technical Job Role 2227,Non-Technical Field 109
user241,12th Pass,Technical Skill 524,Technical Job Role 3615,Non-Technical Field 849
user242,M.Tech,Technical Skill 442,Technical Job Role 579,Non-Technical Field 163
user243,M.Tech,Technical Skill 917,Technical Job Role 6207,Non-Technical Field 959
user244,B.Tech,Technical Skill 257,Technical Job Role 532,Non-Technical Field 156
user245,B.Tech,Technical Skill 341,Technical Job Role 4201,Non-Technical Field 829
user246,12th Pass,Technical Skill 786,Technical Job Role 1766,Non-Technical Field 183
user247,B.Tech,Technical Skill 806,Technical Job Role 9123,Non-Technical Field 555
user248,B.Tech,Technical Skill 172,Technical Job Role 4186,Non-Technical Field 792
user249,M.Tech,Technical Skill 506,Technical Job Role 9244,Non-Technical Field 679
user250,M.Tech,Technical Skill 432,Technical Job Role 9250,Non-Technical Field 431
user251,B.Tech,Technical Skill 932,Technical Job Role 2085,Non-Technical Field 306
user252,M.Tech,Technical Skill 245,Technical Job Role 1851,Non-Technical Field 500
user253,B.Tech,Technical Skill 642,Technical Job Role 8792,Non-Technical Field 549
user254,B.Tech,Technical Skill 312,Technical Job Role 4567,Non-Technical Field 230
user255,10th Pass,Technical Skill 564,Technical Job Role 473,Non-Technical Field 184
user256,12th Pass,Technical Skill 55,Technical Job Role 5488,Non-Technical Field 324
user257,M.Tech,Technical Skill 641,Technical Job Role 8093,Non-Technical Field 734
user258,M.Tech,Technical Skill 581,Technical Job Role 4752,Non-Technical Field 457
user259,B.Tech,Technical Skill 912,Technical Job Role 3289,Non-Technical Field 713
user260,M.Tech,Technical Skill 434,Technical Job Role 6320,Non-Technical Field 433
user261,12th Pass,Technical Skill 974,Technical Job Role 6131,Non-Technical Field 259
user262,B.Tech,Technical Skill 594,Technical Job Role 6567,Non-Technical Field 661
user263,10th Pass,Technical Skill 174,Technical Job Role 7686,Non-Technical Field 467
user264,10th Pass,Technical Skill 218,Technical Job Role 8859,Non-Technical Field 427
user265,M.Tech,Technical Skill 573,Technical Job Role 182,Non-Technical Field 252
user266,M.Tech,Technical Skill 152,Technical Job Role 1763,Non-Technical Field 630
user267,B.Tech,Technical Skill 725,Technical Job Role 8610,Non-Technical Field 547
user268,10th Pass,Technical Skill 311,Technical Job Role 5314,Non-Technical Field 959
user269,12th Pass,Technical Skill 373,Technical Job Role 4711,Non-Technical Field 859
user270,10th Pass,Technical Skill 872,Technical Job Role 5593,Non-Technical Field 355
user271,12th Pass,Technical Skill 277,Technical Job Role 9932,Non-Technical Field 314
user272,M.Tech,Technical Skill 62,Technical Job Role 8618,Non-Technical Field 638
user273,M.Tech,Technical Skill 550,Technical Job Role 5332,Non-Technical Field 678
user274,B.Tech,Technical Skill 415,Technical Job Role 4037,Non-Technical Field 485
user275,10th Pass,Technical Skill 1,Technical Job Role 4114,Non-Technical Field 789
user276,10th Pass,Technical Skill 3,Technical Job Role 810,Non-Technical Field 773
user277,B.Tech,Technical Skill 695,Technical Job Role 7003,Non-Technical Field 4
user278,B.Tech,Technical Skill 85,Technical Job Role 9525,Non-Technical Field 424
user279,M.Tech,Technical Skill 764,Technical Job Role 4686,Non-Technical Field 253
user280,B.Tech,Technical Skill 413,Technical Job Role 939,Non-Technical Field 854
user281,10th Pass,Technical Skill 574,Technical Job Role 4065,Non-Technical Field 401
user282,12th Pass,Technical Skill 540,Technical Job Role 8990,Non-Technical Field 194
user283,M.Tech,Technical Skill 318,Technical Job Role 5259,Non-Technical Field 114
user284,M.Tech,Technical Skill 868,Technical Job Role 8012,Non-Technical Field 199
user285,B.Tech,Technical Skill 778,Technical Job Role 7743,Non-Technical Field 150
user286,12th Pass,Technical Skill 561,Technical Job Role 742,Non-Technical Field 112
user287,M.Tech,Technical Skill 837,Technical Job Role 5038,Non-Technical Field 198
user288,12th Pass,Technical Skill 422,Technical Job Role 255,Non-Technical Field 492
user289,12th Pass,Technical Skill 210,Technical Job Role 7092,Non-Technical Field 650
user290,M.Tech,Technical Skill 25,Technical Job Role 9211,Non-Technical Field 405
user291,B.Tech,Technical Skill 727,Technical Job Role 3075,Non-Technical Field 524
user292,12th Pass,Technical Skill 859,Technical Job Role 1479,Non-Technical Field 682
user293,10th Pass,Technical Skill 704,Technical Job Role 2413,Non-Technical Field 588
user294,12th Pass,Technical Skill 453,Technical Job Role 8388,Non-Technical Field 554
user295,M.Tech,Technical Skill 360,Technical Job Role 8898,Non-Technical Field 890
user296,12th Pass,Technical Skill 838,Technical Job Role 1057,Non-Technical Field 666
user297,12th Pass,Technical Skill 763,Technical Job Role 8689,Non-Technical Field 353
user298,10th Pass,Technical Skill 237,Technical Job Role 2529,Non-Technical Field 50
user299,M.Tech,Technical Skill 831,Technical Job Role 4674,Non-Technical Field 606
user300,M.Tech,Technical Skill 812,Technical Job Role 2253,Non-Technical Field 414
user301,M.Tech,Technical Skill 589,Technical Job Role 7756,Non-Technical Field 948
user302,M.Tech,Technical Skill 777,Technical Job Role 7792,Non-Technical Field 578
user303,B.Tech,Technical Skill 645,Technical Job Role 3413,Non-Technical Field 970
user304,10th Pass,Technical Skill 888,Technical Job Role 2012,Non-Technical Field 516
user305,M.Tech,Technical Skill 794,Technical Job Role 3018,Non-Technical Field 263
user306,12th Pass,Technical Skill 991,Technical Job Role 1678,Non-Technical Field 591
user307,12th Pass,Technical Skill 583,Technical Job Role 2095,Non-Technical Field 851
user308,B.Tech,Technical Skill 456,Technical Job Role 9182,Non-Technical Field 832
user309,M.Tech,Technical Skill 127,Technical Job Role 7103,Non-Technical Field 982
user310,12th Pass,Technical Skill 753,Technical Job Role 6864,Non-Technical Field 219
user311,10th Pass,Technical Skill 32,Technical Job Role 8758,Non-Technical Field 172
user312,12th Pass,Technical Skill 9,Technical Job Role 477,Non-Technical Field 380
user313,B.Tech,Technical Skill 287,Technical Job Role 5301,Non-Technical Field 320
user314,B.Tech,Technical Skill 517,Technical Job Role 2029,Non-Technical Field 24
user315,M.Tech,Technical Skill 517,Technical Job Role 2050,Non-Technical Field 432
user316,12th Pass,Technical Skill 290,Technical Job Role 7536,Non-Technical Field 794
user317,12th Pass,Technical Skill 16,Technical Job Role 8714,Non-Technical Field 525
user318,B.Tech,Technical Skill 855,Technical Job Role 2769,Non-Technical Field 713
user319,M.Tech,Technical Skill 620,Technical Job Role 5756,Non-Technical Field 754
user320,B.Tech,Technical Skill 46,Technical Job Role 8338,Non-Technical Field 56
user321,M.Tech,Technical Skill 585,Technical Job Role 3976,Non-Technical Field 749
user322,10th Pass,Technical Skill 736,Technical Job Role 5367,Non-Technical Field 198
user323,12th Pass,Technical Skill 256,Technical Job Role 9660,Non-Technical Field 913
user324,B.Tech,Technical Skill 765,Technical Job Role 3828,Non-Technical Field 849
user325,B.Tech,Technical Skill 186,Technical Job Role 7772,Non-Technical Field 707
user326,12th Pass,Technical Skill 583,Technical Job Role 4963,Non-Technical Field 797
user327,B.Tech,Technical Skill 336,Technical Job Role 1105,Non-Technical Field 530
user328,M.Tech,Technical Skill 261,Technical Job Role 1941,Non-Technical Field 813
user329,10th Pass,Technical Skill 911,Technical Job Role 8071,Non-Technical Field 327
user330,12th Pass,Technical Skill 90,Technical Job Role 3231,Non-Technical Field 201
user331,12th Pass,Technical Skill 212,Technical Job Role 6157,Non-Technical Field 450
user332,12th Pass,Technical Skill 849,Technical Job Role 2414,Non-Technical Field 487
user333,M.Tech,Technical Skill 795,Technical Job Role 1056,Non-Technical Field 906
user334,12th Pass,Technical Skill 152,Technical Job Role 5446,Non-Technical Field 482
user335,M.Tech,Technical Skill 572,Technical Job Role 7480,Non-Technical Field 246
user336,B.Tech,Technical Skill 405,Technical Job Role 598,Non-Technical Field 515
user337,10th Pass,Technical Skill 854,Technical Job Role 1261,Non-Technical Field 927
user338,M.Tech,Technical Skill 740,Technical Job Role 6267,Non-Technical Field 291
user339,10th Pass,Technical Skill 200,Technical Job Role 5538,Non-Technical Field 414
user340,B.Tech,Technical Skill 604,Technical Job Role 230,Non-Technical Field 358
user341,M.Tech,Technical Skill 53,Technical Job Role 747,Non-Technical Field 256
user342,12th Pass,Technical Skill 592,Technical Job Role 6827,Non-Technical Field 890
user343,B.Tech,Technical Skill 874,Technical Job Role 2033,Non-Technical Field 39
user344,10th Pass,Technical Skill 374,Technical Job Role 1932,Non-Technical Field 804
user345,10th Pass,Technical Skill 184,Technical Job Role 9417,Non-Technical Field 927
user346,B.Tech,Technical Skill 324,Technical Job Role 1959,Non-Technical Field 178
user347,10th Pass,Technical Skill 976,Technical Job Role 67,Non-Technical Field 318
user348,12th Pass,Technical Skill 665,Technical Job Role 80,Non-Technical Field 211
